step,infected_sensitive_status,susceptible_status,infected_resistant_status,recoveries_r_status,recoveries_s_status,carrier_is_status,carrier_ir_status,treatments_treatment,finished_treatment,post_treatment_treatment
547,8,31,11,2,2,0,3,0,22,22
548,8,31,11,2,2,0,3,0,22,22
549,8,31,11,2,2,0,3,0,22,22
550,8,31,11,2,2,0,3,0,22,22
551,8,31,11,2,2,0,3,0,22,22
552,8,31,11,2,2,0,3,0,22,22
553,8,31,11,2,2,0,3,0,22,22
554,7,31,11,2,3,0,3,0,22,22
555,7,31,11,2,3,0,3,0,22,22
556,7,31,11,2,3,0,3,0,22,22
557,7,31,11,2,3,0,3,0,22,22
558,6,31,11,2,4,0,3,0,22,22
559,6,31,11,2,4,0,3,0,22,22
560,6,31,11,2,4,0,3,0,22,22
561,6,31,11,2,4,0,3,0,22,22
562,6,31,11,2,4,0,3,0,22,22
563,6,31,11,2,4,0,3,0,22,22
564,6,31,11,2,4,0,3,0,22,22
565,6,31,11,2,4,0,3,0,22,22
566,6,31,11,2,4,0,3,0,22,22
567,6,31,11,2,4,0,3,0,22,22
568,6,31,11,2,4,0,3,0,22,22
569,6,31,11,2,4,0,3,0,22,22
570,6,31,11,2,4,0,3,0,22,22
571,6,31,11,2,4,0,3,0,22,22
572,6,31,11,2,4,0,3,0,22,22
573,6,30,12,2,4,0,3,0,22,22
574,6,30,12,2,4,0,3,0,22,22
575,6,30,12,2,4,0,3,0,22,22
576,6,30,12,2,4,0,3,0,22,22
577,6,29,13,2,4,0,3,0,22,22
578,6,29,13,2,4,0,3,0,22,22
579,6,29,13,2,4,0,3,0,22,22
580,6,29,13,2,4,0,3,0,22,22
581,6,29,13,2,4,0,3,0,22,22
582,6,29,13,2,4,0,3,0,22,22
583,6,29,13,2,4,0,3,0,22,22
584,6,29,13,2,4,0,3,0,22,22
585,6,29,13,2,4,0,3,1,22,22
586,6,29,13,2,4,0,3,1,22,22
587,6,29,13,2,4,0,3,1,22,22
588,6,29,13,2,4,0,3,1,22,22
589,6,29,13,2,4,0,3,1,22,22
590,6,29,13,2,4,0,3,0,23,23
591,6,28,14,2,4,0,3,0,23,23
592,6,28,14,2,4,0,3,0,23,23
593,6,28,14,2,4,0,3,0,23,23
594,6,28,14,2,4,0,3,0,23,23
595,6,28,14,2,4,0,3,0,23,23
596,6,28,14,2,4,0,3,1,23,23
597,6,28,14,2,4,0,3,2,23,23
598,6,28,14,2,4,0,3,2,23,23
599,6,28,14,2,4,0,3,2,23,23
600,6,28,14,2,4,0,3,2,23,23
601,6,28,14,2,4,0,3,1,24,24
602,6,28,14,2,4,0,3,0,25,25
603,6,28,14,2,4,0,3,0,25,25
604,6,28,14,2,4,0,3,1,25,25
605,6,28,14,2,4,0,3,1,25,25
606,6,28,14,2,4,0,3,1,25,25
607,6,28,14,2,4,0,3,1,25,25
608,6,28,14,2,4,0,3,1,25,25
609,6,28,14,2,4,0,3,0,26,26
610,6,28,14,2,4,0,3,0,26,26
611,6,28,14,2,4,0,3,0,26,26
